Title,URL handle,Description,Vendor,Type,Tags,Published on online store,Status,SKU,Option1 name,Option1 value,Price,Compare-at price,Charge tax,Inventory tracker,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service
,commed-prueba-suturas,,,,,false,draft,TEST-COMMED-006-02,Presentación,Caja 12,650,,false,shopify,deny,240,g,true,manual
PRUEBA — Bata para procedimiento,commed-prueba-bata,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Quirúrgico,"commed-prueba,categoria-quirurgico,datos-ficticios",false,draft,TEST-COMMED-007-01,Talla,CH,95,,false,shopify,deny,150,g,true,manual
,commed-prueba-bata,,,,,false,draft,TEST-COMMED-007-02,Talla,M,95,,false,shopify,deny,170,g,true,manual
,commed-prueba-bata,,,,,false,draft,TEST-COMMED-007-03,Talla,G,105,,false,shopify,deny,190,g,true,manual
PRUEBA — Sistema de drenaje,commed-prueba-drenaje,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Quirúrgico,"commed-prueba,categoria-quirurgico,datos-ficticios",false,draft,TEST-COMMED-008-01,Title,Default Title,320,,false,shopify,deny,250,g,true,manual
PRUEBA — Baumanómetro digital,commed-prueba-baumanometro,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Diagnóstico,"commed-prueba,categoria-diagnostico,datos-ficticios",false,draft,TEST-COMMED-009-01,Title,Default Title,650,790,false,shopify,deny,500,g,true,manual
PRUEBA — Gel para ultrasonido,commed-prueba-gel-ultrasonido,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Diagnóstico,"commed-prueba,categoria-diagnostico,datos-ficticios",false,draft,TEST-COMMED-010-01,Presentación,250 ml,55,,false,shopify,deny,300,g,true,manual
,commed-prueba-gel-ultrasonido,,,,,false,draft,TEST-COMMED-010-02,Presentación,1 L,160,,false,shopify,deny,1100,g,true,manual
PRUEBA — Rollo para electrocardiograma,commed-prueba-rollo-ecg,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Diagnóstico,"commed-prueba,categoria-diagnostico,datos-ficticios",false,draft,TEST-COMMED-011-01,Title,Default Title,110,,false,shopify,deny,200,g,true,manual
PRUEBA — Recipiente para muestra,commed-prueba-recipiente-muestra,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Diagnóstico,"commed-prueba,categoria-diagnostico,datos-ficticios",false,draft,TEST-COMMED-012-01,Title,Default Title,18,,false,shopify,deny,30,g,true,manual
PRUEBA — Abatelenguas,commed-prueba-abatelenguas,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Consumibles,"commed-prueba,categoria-consumibles,datos-ficticios",false,draft,TEST-COMMED-013-01,Title,Default Title,35,,false,shopify,deny,150,g,true,manual
PRUEBA — Jeringas,commed-prueba-jeringas,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Consumibles,"commed-prueba,categoria-consumibles,datos-ficticios",false,draft,TEST-COMMED-014-01,Capacidad,3 ml,6,,false,shopify,deny,10,g,true,manual
,commed-prueba-jeringas,,,,,false,draft,TEST-COMMED-014-02,Capacidad,5 ml,8,,false,shopify,deny,12,g,true,manual
,commed-prueba-jeringas,,,,,false,draft,TEST-COMMED-014-03,Capacidad,10 ml,12,,false,shopify,deny,16,g,true,manual
PRUEBA — Tubos de demostración,commed-prueba-tubos,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Consumibles,"commed-prueba,categoria-consumibles,datos-ficticios",false,draft,TEST-COMMED-015-01,Longitud,1 m,40,,false,shopify,deny,100,g,true,manual
,commed-prueba-tubos,,,,,false,draft,TEST-COMMED-015-02,Longitud,2 m,75,,false,shopify,deny,200,g,true,manual
PRUEBA — Bolsa para alimentación,commed-prueba-bolsa-alimentacion,"<p>PRODUCTO FICTICIO DE PRUEBA. No disponible para venta real.</p><p>Nombre, presentaciones, precio y peso son datos simulados para probar Shopify. No representan especificaciones, existencias ni ofertas comerciales de COMMED. No usar como ficha técnica o indicación médica.</p>",COMMED DEMO,Consumibles,"commed-prueba,categoria-consumibles,datos-ficticios",false,draft,TEST-COMMED-016-01,Title,Default Title,95,,false,shopify,deny,100,g,true,manual
